deviceName,pm10,pm25,co2,tvoc,temperature,humidity,checkDateTime
SCH_공학관_9209_학부연구실_IN,8,8,457,139,15,36,2023.11.14 0:00
SCH_공학관_9209_학부연구실_IN,8,7,452,129,15,37,2023.11.14 1:00
SCH_공학관_9209_학부연구실_IN,7,6,442,121,15,37,2023.11.14 2:00
SCH_공학관_9209_학부연구실_IN,7,7,451,125,15,37,2023.11.14 3:00
SCH_공학관_9209_학부연구실_IN,10,10,439,128,14,39,2023.11.14 4:00
SCH_공학관_9209_학부연구실_IN,12,10,446,131,14,39,2023.11.14 5:00
SCH_공학관_9209_학부연구실_IN,12,10,445,132,14,39,2023.11.14 6:00
SCH_공학관_9209_학부연구실_IN,13,10,450,132,14,39,2023.11.14 7:00
SCH_공학관_9209_학부연구실_IN,11,10,447,186,14,39,2023.11.14 8:00
SCH_공학관_9209_학부연구실_IN,9,9,451,206,14,41,2023.11.14 9:00
SCH_공학관_9209_학부연구실_IN,8,8,454,174,14,41,2023.11.14 10:00
SCH_공학관_9209_학부연구실_IN,10,10,463,154,14,41,2023.11.14 11:00
SCH_공학관_9209_학부연구실_IN,7,7,481,138,14,41,2023.11.14 12:00
SCH_공학관_9209_학부연구실_IN,11,9,737,297,14,46,2023.11.14 13:00
SCH_공학관_9209_학부연구실_IN,9,8,772,416,19,40,2023.11.14 14:00
SCH_공학관_9209_학부연구실_IN,7,6,815,411,21,37,2023.11.14 15:00
SCH_공학관_9209_학부연구실_IN,6,6,682,251,17,40,2023.11.14 16:00
SCH_공학관_9209_학부연구실_IN,7,7,724,255,17,42,2023.11.14 17:00
SCH_공학관_9209_학부연구실_IN,6,6,883,355,19,42,2023.11.14 18:00
SCH_공학관_9209_학부연구실_IN,7,7,789,278,17,42,2023.11.14 19:00
SCH_공학관_9209_학부연구실_IN,9,8,712,244,16,44,2023.11.14 20:00
SCH_공학관_9209_학부연구실_IN,11,10,643,214,16,44,2023.11.14 21:00
SCH_공학관_9209_학부연구실_IN,12,11,599,190,16,44,2023.11.14 22:00
SCH_공학관_9209_학부연구실_IN,14,13,559,168,16,44,2023.11.14 23:00
SCH_공학관_9209_학부연구실_IN,13,12,532,152,15,44,2023.11.15 0:00
SCH_공학관_9209_학부연구실_IN,14,14,504,136,15,44,2023.11.15 1:00
SCH_공학관_9209_학부연구실_IN,15,14,493,120,15,44,2023.11.15 2:00
SCH_공학관_9209_학부연구실_IN,15,14,478,106,15,44,2023.11.15 3:00
SCH_공학관_9209_학부연구실_IN,20,17,477,100,15,46,2023.11.15 4:00
SCH_공학관_9209_학부연구실_IN,18,18,485,96,15,46,2023.11.15 5:00
SCH_공학관_9209_학부연구실_IN,21,18,478,93,15,46,2023.11.15 6:00
SCH_공학관_9209_학부연구실_IN,20,18,471,89,15,46,2023.11.15 7:00
SCH_공학관_9209_학부연구실_IN,14,14,470,92,15,46,2023.11.15 8:00
SCH_공학관_9209_학부연구실_IN,18,18,480,93,15,46,2023.11.15 9:00
SCH_공학관_9209_학부연구실_IN,19,17,480,98,15,46,2023.11.15 10:00
SCH_공학관_9209_학부연구실_IN,17,16,483,104,15,46,2023.11.15 11:00
SCH_공학관_9209_학부연구실_IN,21,20,491,114,15,46,2023.11.15 12:00
SCH_공학관_9209_학부연구실_IN,15,15,647,306,20,42,2023.11.15 13:00
SCH_공학관_9209_학부연구실_IN,17,15,754,340,22,40,2023.11.15 14:00
SCH_공학관_9209_학부연구실_IN,16,14,726,245,20,42,2023.11.15 15:00
SCH_공학관_9209_학부연구실_IN,19,17,799,289,22,38,2023.11.15 16:00
SCH_공학관_9209_학부연구실_IN,18,15,833,293,23,38,2023.11.15 17:00
SCH_공학관_9209_학부연구실_IN,16,16,843,281,23,38,2023.11.15 18:00
SCH_공학관_9209_학부연구실_IN,19,19,833,275,24,38,2023.11.15 19:00
SCH_공학관_9209_학부연구실_IN,21,20,822,279,24,36,2023.11.15 20:00
SCH_공학관_9209_학부연구실_IN,25,25,755,215,22,38,2023.11.15 21:00
SCH_공학관_9209_학부연구실_IN,27,25,657,175,20,40,2023.11.15 22:00
SCH_공학관_9209_학부연구실_IN,27,26,580,143,20,40,2023.11.15 23:00
SCH_공학관_9209_학부연구실_IN,28,27,531,120,19,40,2023.11.16 0:00
SCH_공학관_9209_학부연구실_IN,33,32,504,101,19,40,2023.11.16 1:00
SCH_공학관_9209_학부연구실_IN,36,36,483,88,18,42,2023.11.16 2:00
SCH_공학관_9209_학부연구실_IN,35,35,480,79,18,42,2023.11.16 3:00
SCH_공학관_9209_학부연구실_IN,35,32,466,72,18,42,2023.11.16 4:00
SCH_공학관_9209_학부연구실_IN,35,35,459,66,17,42,2023.11.16 5:00
SCH_공학관_9209_학부연구실_IN,32,32,458,63,17,42,2023.11.16 6:00
SCH_공학관_9209_학부연구실_IN,31,30,462,62,17,42,2023.11.16 7:00
SCH_공학관_9209_학부연구실_IN,35,34,462,65,17,42,2023.11.16 8:00
SCH_공학관_9209_학부연구실_IN,40,40,466,72,17,42,2023.11.16 9:00
SCH_공학관_9209_학부연구실_IN,40,39,461,79,17,44,2023.11.16 10:00
SCH_공학관_9209_학부연구실_IN,41,39,469,91,17,44,2023.11.16 11:00
SCH_공학관_9209_학부연구실_IN,50,47,465,108,17,44,2023.11.16 12:00
SCH_공학관_9209_학부연구실_IN,42,41,465,116,17,45,2023.11.16 13:00
SCH_공학관_9209_학부연구실_IN,37,34,545,136,17,47,2023.11.16 14:00
SCH_공학관_9209_학부연구실_IN,28,27,521,122,17,47,2023.11.16 15:00
SCH_공학관_9209_학부연구실_IN,27,25,524,121,17,49,2023.11.16 16:00
SCH_공학관_9209_학부연구실_IN,19,19,504,127,16,49,2023.11.16 17:00
SCH_공학관_9209_학부연구실_IN,13,13,502,150,16,49,2023.11.16 18:00
SCH_공학관_9209_학부연구실_IN,16,14,490,136,17,49,2023.11.16 19:00
SCH_공학관_9209_학부연구실_IN,14,14,494,124,16,50,2023.11.16 20:00
SCH_공학관_9209_학부연구실_IN,13,12,485,114,16,50,2023.11.16 21:00
SCH_공학관_9209_학부연구실_IN,19,18,472,112,16,50,2023.11.16 22:00
SCH_공학관_9209_학부연구실_IN,14,10,465,99,16,50,2023.11.16 23:00
